group,names,scores,logfoldchanges,pvals,pvals_adj
0,SPG7,2.9211,1.0532199,0.003487980757062142,0.04995984933683557
0,TMEM245,2.9211,1.1573057,0.003487980757062142,0.04995984933683557
1,RP11-466H18.1,2.8370416,0.8060551,0.004553368100896392,0.04614145451928942
1,C1QA,2.8386984,8.291865,0.004529794758397273,0.04596233058607222
2,PET100,3.1546433,1.2086645,0.0016069443297781938,0.04953879929229204
2,EZH2,3.1565413,1.7863859,0.0015965221372982552,0.0493150292423317
3,MKLN1,3.020511,1.3849585,0.002523486528168581,0.04992105371249233
3,RN7SL2,3.0211437,1.2933462,0.0025182192856976417,0.049837936146820104
4,CDC42,3.1859746,1.3390453,0.0014426730204375182,0.04949966725882683
4,PRDM8,3.1915154,2.3536973,0.0014152859236887794,0.048667104049433425
5,DCTPP1,3.0019662,1.9627749,0.002682420060200076,0.049978508579807464
5,ATG2B,3.0028365,2.0165946,0.0026747606084920957,0.049855661465421024
6,LRP1B,3.572712,2.6371505,0.0003533033850479369,0.04932115255269199
6,MBP,3.5782423,2.4027324,0.00034591254646417635,0.048725741409468885
7,ANKRD36,3.6902444,1.8863438,0.00022403860858413504,0.04873204450718911
7,ATXN7L1,3.7089517,3.3718352,0.00020811910261636025,0.046127478450031775
8,GLI3,3.524174,2.4259753,0.0004248052812125192,0.0499156878924238
8,GRAMD1C,3.524174,2.555966,0.0004248052812125192,0.0499156878924238
9,VIM,3.6835113,4.545227,0.00023004301238771605,0.04957691943467248
9,PHIP,3.6885436,2.7530873,0.00022554147347833353,0.04883181735503586
0,SCG2,11.996498,6.210035,3.70649457126695e-33,6.231851734800439e-29
0,NRIP3,12.309119,6.7606335,8.090150339858108e-35,3.783439707938043e-30
1,HNRNPH1,6.0551534,1.208599,1.4028375947753692e-09,2.0001555779653937e-07
1,RPS27,7.048146,1.7803303,1.8131767108712552e-12,8.479502206060511e-10
2,STMN2,11.135524,6.7040596,8.424813282855294e-29,1.9699740899300537e-24
2,TUBA1A,11.225368,4.868364,3.061116180753157e-29,1.4315615930910213e-24
3,F3,11.319007,8.70496,1.0566196999996234e-29,2.4706938445091194e-25
3,ATP1A2,11.515144,8.896854,1.1067442088526138e-30,5.175799967120134e-26
4,TMEM144,10.667474,10.1342745,1.4450159799513505e-26,1.9699278240563154e-22
4,PLP1,10.700719,12.617879,1.0099176150038911e-26,1.9699278240563154e-22
5,RYR2,7.6002226,5.9082,2.956213861128514e-14,6.912514871476804e-10
5,VSNL1,7.9797115,7.059061,1.4667548933243288e-15,6.859425934120557e-11
6,PCDH15,7.657918,7.7966094,1.889713520566562e-14,4.094162206488473e-10
6,TNR,7.8938866,7.9573135,2.92918174711517e-15,1.3698611358558805e-10
7,XPR1,6.2206416,5.7825556,4.951259355405659e-10,6.9766946052398885e-06
7,CRYM,6.587894,7.2529364,4.461095262545527e-11,2.0862758104820413e-06
8,CPNE6,5.0563183,4.961452,4.274278382176194e-07,0.009994545141042595
8,PROX1,5.078102,6.214446,3.812234482241811e-07,0.009994545141042595
9,CENPU,5.8900957,11.566642,3.859719946052534e-09,3.6611397320492275e-05
9,HIST1H1B,5.892612,12.114335,3.801387822692011e-09,3.6611397320492275e-05
