group,names,scores,logfoldchanges,pvals,pvals_adj
2,AK5,-11.334657,6.4622083,3.3929688987501996e-19,1.507986177222311e-16
2,SKIL,-11.256813,8.369058,0.00041183361266746587,0.00568046362299953
4,RP4-682C21.2,-1.7432027,4.3083415,0.0877085838047991,0.6435088086844245
4,AF121898.3,-1.5854857,4.9628353,0.11988266821790286,0.6435088086844245
5,SLC16A9,-2.683081,4.1220293,0.008706553360904175,0.15488214004641457
5,DENND2C,-2.637401,3.6072478,0.010075692228586241,0.16517528243584
6,PDE1A,-5.3842015,5.1406784,5.840972607625399e-07,0.00015529889489588656
6,RN7SKP16,-4.7749,2.2490273,2.4377514462109507e-05,0.002303871142241692
7,MOB1A,-7.8090267,4.4310417,1.4449592479789686e-08,1.0140064898098025e-06
7,C1GALT1C1,-7.101819,9.578213,1.531465921748163e-08,1.056183394309078e-06
8,TMEM47,-6.6926513,7.376437,1.2971520919330647e-08,7.136451526445072e-06
8,FBXL3,-6.320722,7.992974,1.1290816426944021e-08,7.136451526445072e-06
11,RP11-115C21.4,-6.251062,7.9101415,2.5187164823679093e-08,6.716577286314425e-06
11,C3orf58,-6.195864,6.5363584,1.5794206121662987e-08,4.859755729742458e-06
12,TTC19,-12.797319,8.508849,3.190743889524758e-22,2.552595111619806e-19
12,CDH9,-11.497668,5.347343,1.4778419595223318e-19,6.56818648676592e-17
13,KDM5B,-9.81672,6.491004,5.167112819423152e-16,2.95263589681323e-13
13,CDH9,-9.092849,5.7020626,1.777080679643292e-14,7.1083227185731674e-12
2,POMGNT2,7.000259,8.188662,5.3606983220224885e-06,0.00016079311796543782
2,ZNF385D,7.485006,6.7085986,0.00012305894207320346,0.002130890771830363
4,SMAD9-AS1,1.2669287,-3.9781501,0.21104462622614195,0.6813385834580853
4,RP11-624L4.1,1.4042848,-2.156084,0.1664548934678365,0.6579244801100257
5,TUFT1,0.62553227,4.8141966,0.5377104240887629,0.7798555824347541
5,MAP1B,0.69631016,5.51482,0.493155912860463,0.7606854560463651
6,RP4-682C21.2,1.6748691,-6.428977,0.10073623763297736,0.37275203564468956
6,NFIB,2.310275,6.7808094,0.0297561308517896,0.17175255902908862
7,CDH8,3.2616084,7.344461,0.05399652102332845,0.16337827843669728
7,HSF2,5.6512036,7.6737366,0.003923130776719884,0.02874088481113468
8,PTHLH,1.0717019,7.838485,0.3277052186341544,0.6366298565015142
8,RN7SKP16,1.20713,-2.4368687,0.23976643586557547,0.5444855736431354
11,AP1S2,2.143029,9.375851,0.06301945460003473,0.2169344392428046
11,NRIP3,2.3529124,5.366513,0.05309511149703011,0.19344000177527299
12,MLH3,8.8839445,10.491037,0.01059282773617514,0.03997293485349109
12,DNER,9.458171,8.331788,6.474357354512224e-14,8.768307657864293e-12
13,PRKD1,2.9674983,8.386421,0.07494110293998385,0.21488488298203254
13,DNER,3.1133962,5.289808,0.00839535672297332,0.049824075507260056
