"","conc.b","conc.a","fail.r","corr.b","corr.a","corr.theta","corr.ltheta.b","corr.ltheta.t","corr.ltheta.m","corr.ltheta.s","corr.ltheta.r","conc.a2"
"AST_SRR1974557",-0.752707858762341,-0.314359277209641,-2.30258509299405,-1.59951365479455,1,0.126058141342233,-1.72136706927095,2.69845126490785,13.3951251497476,-0.23149973737118,20,0.0779131344575333
"AST_SRR1974604",-0.191982093747548,-0.208730103788253,-2.30258509299405,-1.30364858426213,1,0.149438406968206,-1.72799151194094,2.29428644387419,4.68157839607905,-0.846567154503987,0.194483147015953,0.0712256234931257
"AST_SRR1974610",1.63930509002493,-1.22548531776934,-2.30258509299405,-1.72301802958783,1,0.173497474206439,-1.1349177800501,2.79380392089791,10.8870192525348,-0.261272312090353,15.5345453914756,0.179150519224102
"AST_SRR1974637",-0.814745749469254,-0.102442604149708,-2.30258509299405,-1.38092507072585,1,0.129524014237914,-1.29378516800176,2.36339819821415,5.6191053067306,-0.669537564035312,0.4599928555082,0.0581933177548846
"AST_SRR1974641",-1.64094380416025,-0.116638910356549,-2.30258509299405,-1.24032164630913,1,0.116546083135082,-1.40704777675341,2.40543132908043,7.78606355418446,-0.388274195344736,1.56810480425994,0.0789376376233911
"AST_SRR1974647",-1.07020220238561,-0.0970515739915297,-2.30258509299405,-1.42965424982786,1,0.141347761055109,-1.13291618139186,2.42605576429801,9.96275131851405,-0.361551256026047,13.2959745504782,0.0689271902047937
"AST_SRR1974651",-0.831409058694962,-0.130036275331477,-2.30258509299405,-1.28730940359936,1,0.141304174671047,-1.23720189076595,2.25614836933372,5.38808614788125,-0.794410272550246,0.370641160912344,0.0715538464228483
"AST_SRR1974653",1.01441673385051,-0.633222499290541,-2.30258509299405,-1.46928242025101,1,0.182286188443068,-1.1110645116043,2.23015957562095,4.49596929401995,-0.866070440856176,0.275501662146281,0.117753451561257
"AST_SRR1974664",-0.101361001336366,-0.489707581010349,-2.30258509299405,-2.02748959664918,1,0.100688169773644,-0.651318443962705,2.73722672476156,9.18670906465582,-0.295189088621369,4.48795640858512,0.0730095606270331
"AST_SRR1974670",-0.455181566186735,-0.49548189542967,-2.30258509299405,-1.67159380636381,1,0.115425888958892,-0.864827076493564,2.56467024856606,11.1622283762137,-0.319308945599168,20,0.0936743624551965
"AST_SRR1974672",0.588284244884578,-0.877789537801153,-2.30258509299405,-1.70043726769018,1,0.118848402230522,-0.969386723359417,2.59157437541044,11.018714227878,-0.308260282623793,19.2155871664867,0.130485012747849
