"","conc.b","conc.a","fail.r","corr.b","corr.a","corr.theta","corr.ltheta.b","corr.ltheta.t","corr.ltheta.m","corr.ltheta.s","corr.ltheta.r","conc.a2"
"NEU_SRR1974602",0.961204837103382,-0.487625343417609,-2.30258509299405,-1.32268265602152,1,0.310063339841452,-3.32846402881922,2.96824551579744,4.58006956197454,-0.232875626972412,0.674333533887178,0.13831988859026
"NEU_SRR1974603",-1.42590775959615,0.0407047493357645,-2.30258509299405,-1.23071765644548,1,0.130224705869452,-1.16478016244834,2.45303212273519,7.61483570250191,-0.422444603248324,3.15045447508362,0.0524120416500821
"NEU_SRR1974605",2.56448073849591,-1.06079167966425,-2.30258509299405,-1.81003655922283,1,0.207709141661215,-3.89876985392247,2.94141558570189,6.11258848913212,-0.235403076848743,0.790136451899028,0.149102844963473
"NEU_SRR1974607",-0.432819904230139,-0.43050441650385,-2.30258509299405,-1.41698675063154,1,0.171755357477146,-2.4414800911736,2.7764322712324,11.5031366262931,-0.217456760596584,8.73567736041818,0.132490860456879
"NEU_SRR1974609",3.19412048027311,-0.991669341065407,-2.30258509299405,-2.00358864244657,1,0.286350445306455,-33.2898319400432,5.71395977187749,17.9378194487808,-0.0684504731971091,1.14385305701526,0.146093992852967
"NEU_SRR1974611",0.0955061309157352,-0.492726756410358,-2.30258509299405,-1.41083731786976,1,0.148620600282937,-0.402260502372313,2.49486822383683,8.46870308552715,-0.426835259617002,20,0.0909863588023068
"NEU_SRR1974612",0.404165420789209,-0.0594788673461944,-2.30258509299405,-1.60876303930107,1,0.169443094814589,-0.998659313991871,2.55414447866876,8.10654276061703,-0.346188587328161,5.88992840077308,0.051066295590559
"NEU_SRR1974613",3.52730912345081,-1.44021497785005,-2.30258509299405,-2.0789088533857,1,0.245595398395666,-2.13682238213314,3.79627262658663,7.32734229289454,-0.16973819533892,2.00579912617576,0.176185926286186
"NEU_SRR1974614",0.385496208832977,-0.626864626610826,-2.30258509299405,-1.28908016037934,1,0.167276672040736,-1.64429662760553,2.76379816509566,11.9049337719932,-0.213762807859102,12.7260229492743,0.115056934002074
"NEU_SRR1974615",4.15833627556392,-2.08505318551142,-2.30258509299405,-1.91739645257507,1,0.318715017376045,-2.11108297995296,2.9341454614663,1.62907046463806,-0.851188996284696,0.1,0.310441922699387
